ID,name,link
204,Easy Low Side Plank Left,https://www.youtube.com/embed/H4QGBPpdJlM?si=j4yb0zcB3e1YMr9N
205,Easy Low Side Plank Right,https://www.youtube.com/embed/CIrpfCKS5ps?si=aeIzEsd13WRRxY85
206,Low Plank-ups,https://www.youtube.com/embed/_YkeclmLxdE?si=LBO3zeNb6_ORDJKR
207,Low Plank Pop-ups,https://www.youtube.com/embed/K-UIbhFMNCs?si=k6C03hK0ozx7Nv6h
208,Low Plank,https://www.youtube.com/embed/nS4PUPVdLYg?si=lrDL7Eei8dDyXkST
209,Front Kicks,https://www.youtube.com/embed/H85yGi1C2P0?si=ZlxLonf56_StOE2f
210,Skipping,https://www.youtube.com/embed/ekWX_zS-KGw?si=G2FfYyOFOs3_i-hh
211,Thai Knees,https://www.youtube.com/embed/NGIdBqIFDHw?si=6xgt0XvgKBffqmLb
212,Front Kick Burpees,https://www.youtube.com/embed/p_jzBO1xYNY?si=VIpA3JrIFTfZtZ2s
213,Boxing Catch Hooks,https://www.youtube.com/embed/TxLY6-_FyWE?si=pTovrZ4ZiILDKUnn
214,Jab Cross,https://www.youtube.com/embed/A8maQG0ev1M?si=feONySWxqLpshbbT
215,Boxing Slip & Roll,https://www.youtube.com/embed/BcAZWwVwSLw?si=Us-obHZmmL3r9FrP
216,Mountain Climbers Pylo Spider,https://www.youtube.com/embed/yF9Wwfklco4?si=X3RrAW4VqRb2E3Lg
217,Mountain Climbers,https://www.youtube.com/embed/Xn53SGhxeT8?si=v6shfwClDqnsxFZb
218,Mountain Jumpers,https://www.youtube.com/embed/9So8xCPeiMs?si=sowuSYe2htPJyoAN
219,Mountain Side Jumpers,https://www.youtube.com/embed/zUwurR_S75Y?si=hq3cy0ucL7WPoPa-
220,Mountain Wide Jumpers,https://www.youtube.com/embed/eza10imlVVE?si=L2pW5mX0S_HebTlD
221,Mountain Climber Twist,https://www.youtube.com/embed/98W3pWFVaz8?si=xezk3bMccD8jLUal
222,Low Plank - Side Jumps,https://www.youtube.com/embed/lnVi0OlMbn8?si=iR_ynSF-Pgi_fIsV
223,Low Plank - Side Jump Burpees,https://www.youtube.com/embed/LK8h8Zko0s8?si=46n5cHEndS8Xrwz4
224,Knee Hands Off Push-up Partner Claps,https://www.youtube.com/embed/iCeJoTNppgY?si=mbSMEEhn7p6EfZiN
225,Hands Off Push-up Partner Claps,https://www.youtube.com/embed/5rnwEbfoCa8?si=DUsWDC8t_aeiSnv7
226,High Plank Partner Claps,https://www.youtube.com/embed/WZfZaW4fyq4?si=DRN9cf96zlXEZ0s4
227,Low Plank Partner Claps,https://www.youtube.com/embed/tW299YFPfMM?si=OlRZyzWMBzkXIt_Z
228,Low Plank - MMA Push-ups,https://www.youtube.com/embed/tRXwn8reSTk?si=fakHF233ZmwN0oWU
229,Sitting Leg Raises - Side Drills,https://www.youtube.com/embed/UQUQv9cSzi0?si=DGUQg3yggg_WNp-B
230,Low Plank - Side Drills,https://www.youtube.com/embed/gfzNKsp6okM?si=mmknujfUaKlKzkwo
231,Partner Leg Side Throws,https://www.youtube.com/embed/hFoMWwISOts?si=mNTQZisbR0AHgoYz
232,Partner Leg Throws,https://www.youtube.com/embed/Q56U9gMmD7Y?si=4car0y4_lKhOVNql
